date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:47:21	199/199	---M--	403	error ('Forbidden')	text/html	date:Wed,%2026%20Jun%202024%2020:47:21%20GMT	https://holenet.info/assets/images/sol/h96/	./holenet.info/assets/images/sol/h96/index.html	(from https://holenet.info/)
21:47:21	515/515	---M--	200	added ('OK')	image/png	etag:%22203-5648e0f288280%22	https://holenet.info/assets/images/icons/icon_32_desktop.png	./holenet.info/assets/images/icons/icon_32_desktop.png	(from https://holenet.info/)
21:47:22	359/359	---M--	200	added ('OK')	image/png	etag:%22167-5648e0f470700%22	https://holenet.info/assets/images/icons/icon_32_help.png	./holenet.info/assets/images/icons/icon_32_help.png	(from https://holenet.info/)
21:47:23	422/422	---M--	200	added ('OK')	image/png	etag:%221a6-5648e0f194040%22	https://holenet.info/assets/images/icons/icon_32_controlpanel.png	./holenet.info/assets/images/icons/icon_32_controlpanel.png	(from https://holenet.info/)
21:47:24	442/442	---M--	200	added ('OK')	image/png	etag:%221ba-5648e0f194040%22	https://holenet.info/assets/images/icons/icon_32_ctbbs.png	./holenet.info/assets/images/icons/icon_32_ctbbs.png	(from https://holenet.info/)
21:47:25	315/315	---M--	200	added ('OK')	image/png	etag:%2213b-5648e0f658b80%22	https://holenet.info/assets/images/icons/icon_32_relichunter.png	./holenet.info/assets/images/icons/icon_32_relichunter.png	(from https://holenet.info/)
21:47:26	781/781	---M--	200	added ('OK')	image/png	etag:%2230d-5648e0f74cdc0%22	https://holenet.info/assets/images/icons/icon_32_sonicworlds.png	./holenet.info/assets/images/icons/icon_32_sonicworlds.png	(from https://holenet.info/)
21:47:27	11141/11141	---M-Z	200	added ('OK')	application/javascript	etag:%222b85-564fb0f9bf040-gzip%22	https://holenet.info/assets/js/jquery.desktop.js	./holenet.info/assets/js/jquery.desktop.js	(from https://holenet.info/)
21:47:28	47544/47544	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22b9b8-5647dc9a0c700%22	https://holenet.info/assets/fonts/bigblue_term.eot	./holenet.info/assets/fonts/bigblue_term.eot	(from https://holenet.info/assets/css/desktop.css)
21:47:29	47544/47544	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22b9b8-5647dc9a0c700%22	https://holenet.info/assets/fonts/bigblue_term.eot?	./holenet.info/assets/fonts/bigblue_termd41d.eot	(from https://holenet.info/assets/css/desktop.css)
